Año,Programa SDA,Código de proyecto,Proyecto,Dominio,Plan estratégico local,Country Priority,Tipología,Estado de Proyecto,Desarrollo de SW,Cumplio con entregables,Presupuesto (soles),Complejidad técnica inicial,Dependencias pendientes,Número de dependencias pendientes,Fecha de inicio de ejecución,Fecha fin de ejecución,Fecha pase a producción,Fecha En manos del cliente,Time to market (días),Excepción del cálculo
2019,Core Banking Modernization,SDA-82371,Actualización Sistema Swift,CIB,Renovación Tecnológica,Sí,Secuencial,Finalizado,Sí,Entrega completa,1786500,Alta,Sí,3,18/03/2019,25/11/2019,02/12/2019,11/12/2019,268,No
2024,Corporate Investment Tools,SDA-78902,Plataforma de Financiamiento Sostenible,CIB,Eficiencia y Sostenibilidad,No,Iterativo/Incremental,Finalizado,Sí,Entrega completa,2382000,Media,Sí,8,15/01/2024,20/09/2024,27/09/2024,07/10/2024,266,No
2024,Advanced Analytics & AI Models,SDA-78903,Análisis de Riesgo de Contraparte,RIC,Renovación Tecnológica,Sí,Secuencial,Finalizado,Sí,Entrega completa,3652400,Alta,Sí,2,29/04/2024,20/12/2024,02/01/2025,13/01/2025,259,No
2023,Core Banking Modernization,SDA-88952,Rescate a cuentas del exterior en FFMM,CIB,Renovación Tecnológica,No,Secuencial,Finalizado,Sí,Entrega completa,2223200,Alta,Sí,2,01/02/2023,25/09/2023,03/10/2023,16/10/2023,257,No
2024,Digital Payments Evolution,SDA-78907,Pagos con Biometría,CCS,Impulso Digital Perú 2024,Sí,Iterativo/Incremental,Finalizado,Sí,Entrega completa,3493600,Alta,Sí,3,26/02/2024,11/10/2024,18/10/2024,28/10/2024,245,No
2024,Open Banking Initiative,SDA-78908,Agregador de Cuentas de Otros Bancos,CCS,Foco en Captación 2024,No,Iterativo/Incremental,Finalizado,Sí,Entrega completa,2580500,Media,No,0,08/04/2024,22/11/2024,29/11/2024,09/12/2024,245,No
2024,Wealth Management Digitalization,SDA-78904,Gestor de Carteras Automatizado,CIB,Impulso Digital Perú 2024,No,Iterativo/Incremental,Finalizado,Sí,Entrega completa,5161000,Alta,Sí,4,22/01/2024,30/08/2024,06/09/2024,16/09/2024,238,No
2020,Core Banking Modernization,SDA-51829,Optimización del Motor de Créditos,RIC,Renovación Tecnológica,No,Secuencial,Finalizado,Sí,Entrega completa,2421700,Alta,No,0,05/05/2020,11/12/2020,18/12/2020,29/12/2020,238,No
2020,Core Banking Modernization,SDA-23151,Motor de Comisiones y Tarifas,FIN,Eficiencia y Sostenibilidad,No,Secuencial,Finalizado,Sí,Entrega completa,2183500,Alta,Sí,8,18/05/2020,18/12/2020,28/12/2020,08/01/2021,235,No
2023,Core Banking Modernization,SDA-55811,Plataforma de Gestión de Tesorería,FIN,Crecimiento en Banca Empresas,No,Secuencial,Finalizado,Sí,Entrega completa,2858400,Alta,Sí,6,20/03/2023,20/10/2023,27/10/2023,07/11/2023,232,No
2025,IT Service Management (ITSM),SDA-82012,Implementación de ServiceNow,T&C,Eficiencia y Sostenibilidad,No,Secuencial,Finalizado,Sí,Entrega completa,4367000,Alta,Sí,4,15/07/2024,14/02/2025,21/02/2025,03/03/2025,231,No
2023,Regulatory & Compliance Tech,SDA-40554,Gestión de Cumplimiento de FATCA/CRS,GRM,Renovación Tecnológica,Sí,Secuencial,Finalizado,Sí,Entrega completa,2024700,Media,Sí,5,24/04/2023,24/11/2023,01/12/2023,11/12/2023,231,No
2024,IT Service Management (ITSM),SDA-82012,Implementación de ServiceNow,T&C,Eficiencia y Sostenibilidad,No,Secuencial,Ongoing,Sí,Pendiente a entrega,4367000,Alta,Sí,2,15/07/2024,,,,,
2024,Retail Banking Evolution,SDA-84014,Herramienta de Simulación de Inversiones,CCS,Impulso Digital Perú 2025,No,Iterativo/Incremental,Ongoing,Sí,Pendiente a entrega,1230700,Media,Sí,6,22/07/2024,,,,,
2024,Digital Workspace,SDA-87017,Migración a Microsoft 365,T&C,Eficiencia y Sostenibilidad,No,Secuencial,Ongoing,No,Pendiente a entrega,9925000,Media,Sí,1,01/04/2024,,,,,
2024,Client Data Platform,SDA-90020,Plataforma de Consentimiento de Cliente (GDPR),GRM,Crecimiento en Banca Empresas,Sí,Secuencial,Ongoing,Sí,Pendiente a entrega,1588000,Media,Sí,3,02/09/2024,,,,,
2020,Cloud Adoption & DevOps,SDA-74447,Plataforma de Serverless Computing,ENG,Renovación Tecnológica,No,Iterativo/Incremental,Finalizado,Sí,Entrega completa,2382000,Alta,Sí,5,08/07/2019,07/02/2020,14/02/2020,24/02/2020,231,No
2023,Client Data Platform,SDA-40559,Gestión Centralizada de Preferencias,CCS,Foco en Captación 2023,No,Iterativo/Incremental,Finalizado,Sí,Entrega completa,1905600,Media,Sí,6,04/09/2023,29/03/2024,08/04/2024,18/04/2024,227,No
2023,Advanced Analytics & AI Models,SDA-40560,Predictor de Próximo Mejor Producto,ENG,Impulso Digital Perú 2023,Sí,Iterativo/Incremental,Finalizado,Sí,Entrega completa,2223200,Media,Sí,6,02/10/2023,26/04/2024,06/05/2024,16/05/2024,227,No
2025,Client Solutions & Digital Channels,SDA-99823,Asistente Virtual para App (Chatbot),CCS,Foco en Captación 2024,Sí,Iterativo/Incremental,Finalizado,Sí,Entrega completa,1786500,Media,Sí,3,15/07/2024,10/02/2025,17/02/2025,26/02/2025,226,No
2023,Digital Payments Evolution,SDA-53154,Gateway de Pagos Unificado,CIB,Impulso Digital Perú 2023,Sí,Secuencial,Finalizado,Sí,Entrega completa,2580500,Media,Sí,7,27/02/2023,22/09/2023,29/09/2023,10/10/2023,225,No
2021,Client Solutions & Digital Channels,SDA-32061,App para Inversión en Fondos Mutuos,CIB,Foco en Captación 2021,No,Iterativo/Incremental,Finalizado,Sí,Entrega completa,1905600,Media,Sí,2,10/05/2021,03/12/2021,10/12/2021,21/12/2021,225,No
2021,Client Data Platform,SDA-52239,Plataforma de Calidad de Datos (DQM),ENG,Eficiencia y Sostenibilidad,No,Secuencial,Finalizado,Sí,Entrega completa,3573000,Alta,Sí,7,24/08/2020,19/03/2021,26/03/2021,06/04/2021,225,No
2023,Retail Banking Evolution,SDA-40551,Programa de Beneficios para Tarjetas,CCS,Foco en Captación 2023,Sí,Iterativo/Incremental,Finalizado,Sí,Entrega completa,1786500,Media,Sí,8,13/03/2023,06/10/2023,13/10/2023,23/10/2023,224,No
2023,IT Service Management (ITSM),SDA-40553,Automatización de Soporte Nivel 1,T&C,Eficiencia y Sostenibilidad,No,Iterativo/Incremental,Finalizado,Sí,Entrega completa,1270400,Media,Sí,8,17/04/2023,10/11/2023,17/11/2023,27/11/2023,224,No
2022,Wealth Management Digitalization,SDA-21115,Reportes de Cartera Interactivos,CIB,Foco en Captación 2022,No,Iterativo/Incremental,Finalizado,Sí,Entrega completa,1667400,Media,Sí,3,09/05/2022,02/12/2022,09/12/2022,19/12/2022,224,No
2020,Cybersecurity Framework,SDA-28752,Sistema de Gestión de Identidades (IAM),GRM,Renovación Tecnológica,Sí,Secuencial,Finalizado,Sí,Entrega completa,2779000,Alta,No,0,20/01/2020,14/08/2020,21/08/2020,31/08/2020,224,No
2023,Risk Processes Transformation,SDA-65412,Risk Data Transformación Perú,RIC,Renovación Tecnológica,Sí,Secuencial,Ongoing,Sí,Pendiente a entrega,3771500,Alta,Sí,7,24/02/2023,,,,,
2019,Risk Processes Transformation,SDA-17661,Motor de Decisión para Créditos de Consumo,RIC,Impulso Digital Perú 2019,Sí,Secuencial,Finalizado,Sí,Entrega completa,3573000,Alta,Sí,5,03/06/2019,20/12/2019,02/01/2020,13/01/2020,224,No
2023,Global Markets Platform,SDA-53645,Integración con Plataforma de Trading,CIB,Crecimiento en Banca Empresas,No,Iterativo/Incremental,Finalizado,Sí,Entrega completa,2064400,Alta,Sí,1,10/04/2023,27/10/2023,03/11/2023,14/11/2023,218,No
2020,Global Markets Platform,SDA-28374,Plataforma de Inversión Automatizada,CIB,Impulso Digital Perú 2020,Sí,Iterativo/Incremental,Finalizado,Sí,Entrega completa,1905600,Alta,Sí,8,10/02/2020,28/08/2020,04/09/2020,15/09/2020,218,No
2024,Client Data Platform,SDA-78910,Visión 360 del Cliente para Asesores,CIB,Crecimiento en Banca Empresas,Sí,Iterativo/Incremental,Finalizado,Sí,Entrega completa,3890600,Media,No,0,10/06/2024,20/12/2024,02/01/2025,13/01/2025,217,No
2023,NGA & Differential Analytics,SDA-58244,NGA - Perú. EWS Empresas (ARCE),ENG,Impulso Digital Perú 2023,Sí,Iterativo/Incremental,Finalizado,Sí,Entrega completa,1707100,Media,Sí,6,15/05/2023,29/11/2023,07/12/2023,18/12/2023,217,No
2023,Open Banking Initiative,SDA-40558,Iniciador de Pagos para E-commerce,CIB,Impulso Digital Perú 2023,Sí,Iterativo/Incremental,Finalizado,Sí,Entrega completa,2858400,Media,Sí,2,07/08/2023,23/02/2024,01/03/2024,11/03/2024,217,No
2019,Client Solutions & Digital Channels,SDA-14731,Lanzamiento Tarjeta de Crédito Digital,CCS,Foco en Captación 2019,Sí,Iterativo/Incremental,Finalizado,Sí,Entrega completa,1191000,Media,Sí,3,11/03/2019,20/09/2019,27/09/2019,08/10/2019,211,No
2023,Global Markets Platform,SDA-51937,Acceso a Mercados Internacionales para Retail,CIB,Crecimiento en Banca Empresas,No,Iterativo/Incremental,Ongoing,Sí,Pendiente a entrega,2382000,Alta,Sí,4,13/02/2023,,,,,
2023,Core Banking Modernization,SDA-44734,Renovación de Plataforma de Préstamos,RIC,Renovación Tecnológica,Sí,Secuencial,Ongoing,Sí,Pendiente a entrega,7146000,Alta,Sí,1,07/03/2022,,,,,
2022,NGA & Differential Analytics,SDA-45812,Motor de Recomendación de Productos,ENG,Impulso Digital Perú 2022,Sí,Iterativo/Incremental,Finalizado,Sí,Entrega completa,1588000,Media,Sí,7,23/05/2022,02/12/2022,09/12/2022,19/12/2022,210,No
2024,Data Governance Initiative,SDA-69882,Visualizador de Linaje de Datos,ENG,Eficiencia y Sostenibilidad,No,Iterativo/Incremental,Finalizado,Sí,Entrega completa,1230700,Media,Sí,8,22/04/2024,25/10/2024,04/11/2024,14/11/2024,206,No
2019,Digital Payments Evolution,SDA-13641,App para Comercios (Cobro con Celular),CCS,Foco en Captación 2019,Sí,Iterativo/Incremental,Finalizado,Sí,Entrega completa,1667400,Media,Sí,4,22/04/2019,25/10/2019,04/11/2019,14/11/2019,206,No
2022,Cloud Adoption & DevOps,SDA-71234,Migración de Servidores de Canales Móviles a AWS,ENG,Renovación Tecnológica,Sí,Secuencial,Finalizado,Sí,Entrega completa,1488750,Alta,Sí,4,13/04/2022,17/10/2022,25/10/2022,04/11/2022,205,Sí
2022,Digital Payments Evolution,SDA-41936,Tokenización de Tarjetas,CCS,Impulso Digital Perú 2022,Sí,Iterativo/Incremental,Finalizado,Sí,Entrega completa,1786500,Alta,Sí,7,16/05/2022,18/11/2022,25/11/2022,06/12/2022,204,No
2022,Global Markets Platform,SDA-49324,Plataforma de Inversiones para Asesores,CIB,Crecimiento en Banca Empresas,No,Iterativo/Incremental,Finalizado,Sí,Entrega completa,2382000,Media,Sí,2,25/04/2022,28/10/2022,04/11/2022,15/11/2022,204,No
2022,Digital Workspace,SDA-21116,Red Social Corporativa,T&C,Eficiencia y Sostenibilidad,No,Iterativo/Incremental,Finalizado,No,Entrega completa,1111600,Baja,Sí,5,06/06/2022,09/12/2022,16/12/2022,27/12/2022,204,No
2020,Client Solutions & Digital Channels,SDA-25814,Apertura de Cuentas 100% Digital,CCS,Foco en Captación 2020,Sí,Iterativo/Incremental,Finalizado,Sí,Entrega completa,2183500,Media,No,0,02/03/2020,04/09/2020,11/09/2020,22/09/2020,204,No
2020,Client Solutions & Digital Channels,SDA-20211,Marketplace de Productos y Servicios,T&C,Foco en Captación 2020,No,Iterativo/Incremental,Finalizado,Sí,Entrega completa,2382000,Media,Sí,5,17/02/2020,21/08/2020,28/08/2020,08/09/2020,204,No
2020,Sustaninability TBBs,SDA-28122,Criterios ESG en Evaluación de Créditos,RIC,Eficiencia y Sostenibilidad,Sí,Secuencial,Finalizado,Sí,Entrega completa,1667400,Alta,Sí,5,27/01/2020,31/07/2020,07/08/2020,18/08/2020,204,No
2020,Cloud Adoption & DevOps,SDA-52237,Contenedores como Servicio (CaaS),ENG,Renovación Tecnológica,No,Secuencial,Finalizado,Sí,Entrega completa,3215700,Alta,Sí,8,29/06/2020,29/12/2020,08/01/2021,18/01/2021,204,No
2020,Open Banking Initiative,SDA-52238,Sandbox para Desarrolladores Externos,ENG,Impulso Digital Perú 2020,Sí,Iterativo/Incremental,Finalizado,Sí,Entrega completa,4367000,Alta,Sí,3,27/07/2020,29/01/2021,05/02/2021,15/02/2021,204,No
2019,Data Governance Initiative,SDA-16571,Definición de Linaje de Datos Críticos,ENG,Eficiencia y Sostenibilidad,Sí,Secuencial,Finalizado,Sí,Entrega completa,1191000,Media,Sí,5,20/05/2019,22/11/2019,29/11/2019,10/12/2019,204,No
2019,Cybersecurity Framework,SDA-11391,Centro de Operaciones de Seguridad (SOC),GRM,Renovación Tecnológica,Sí,Secuencial,Finalizado,Sí,Entrega completa,5558000,Alta,Sí,6,21/01/2019,26/07/2019,02/08/2019,13/08/2019,204,No
2025,Retail Banking Evolution,SDA-84014,Herramienta de Simulación de Inversiones,CCS,Impulso Digital Perú 2025,No,Iterativo/Incremental,Finalizado,Sí,Entrega completa,1230700,Media,Sí,7,22/07/2024,24/01/2025,31/01/2025,10/02/2025,203,No
2023,Cloud Adoption & DevOps,SDA-52063,Contenedorización de Aplicaciones Legacy,ENG,Renovación Tecnológica,No,Secuencial,Ongoing,Sí,Pendiente a entrega,2382000,Alta,Sí,4,15/05/2023,,,,,
2023,Corporate Investment Tools,SDA-40552,Plataforma de Préstamos Sindicados,CIB,Crecimiento en Banca Empresas,No,Secuencial,Finalizado,Sí,Entrega completa,3096600,Alta,Sí,2,20/02/2023,25/08/2023,01/09/2023,11/09/2023,203,No
2022,Cloud Adoption & DevOps,SDA-21117,Gestión de Secretos en la Nube (Vault),ENG,Renovación Tecnológica,Sí,Secuencial,Finalizado,Sí,Entrega completa,2183500,Alta,Sí,7,04/07/2022,30/12/2022,09/01/2023,19/01/2023,200,No
2022,Advanced Analytics & AI Models,SDA-21120,Análisis de Fuga de Clientes Empresariales,CIB,Crecimiento en Banca Empresas,Sí,Iterativo/Incremental,Finalizado,Sí,Entrega completa,1905600,Media,Sí,8,03/10/2022,31/03/2023,10/04/2023,20/04/2023,200,No
2021,Cloud Adoption & DevOps,SDA-35527,Observabilidad de Aplicaciones en la Nube,ENG,Renovación Tecnológica,No,Iterativo/Incremental,Finalizado,Sí,Entrega completa,1905600,Media,Sí,1,05/07/2021,31/12/2021,10/01/2022,20/01/2022,200,No
2023,Data Governance Initiative,SDA-52485,Plataforma de Autoservicio de Datos,ENG,Eficiencia y Sostenibilidad,No,Iterativo/Incremental,Finalizado,Sí,Entrega completa,1786500,Media,Sí,1,22/05/2023,17/11/2023,24/11/2023,05/12/2023,197,Sí
2023,Global Markets Platform,SDA-54944,Gestión de Portafolios Discrecional,CIB,Crecimiento en Banca Empresas,No,Iterativo/Incremental,Finalizado,Sí,Entrega completa,1905600,Media,Sí,3,30/01/2023,28/07/2023,04/08/2023,15/08/2023,197,No
