Año,Programa SDA,Código de proyecto,Proyecto,Dominio,Plan estratégico local,Country Priority,Tipología,Estado de Proyecto,Desarrollo de SW,Cumplio con entregables,Presupuesto (€),Complejidad técnica inicial,Dependencias pendientes,Número de dependencias pendientes,Fecha de inicio de ejecución,Fecha fin de ejecución,Fecha pase a producción,Fecha En manos del cliente,Time to market (días),Excepción del cálculo
2025,Global Markets Platform,SDA-76577,Análisis de Riesgo de Crédito en Tiempo Real,RIC,Impulso Digital Perú 2025,Sí,Secuencial,Ongoing,Sí,Pendiente a entrega,950000,Alta,Sí,3,20/01/2025,,,,No,
2025,NFR Management Infraestructure,SDA-72487,Actualización de Firewall Perimetral,GRM,Renovación Tecnológica,Sí,Secuencial,Ongoing,No,Pendiente a entrega,600000,Media,Sí,1,03/03/2025,,,,No,
2025,Core Banking Modernization,SDA-71397,API Gateway para Conexión con Fintechs,ENG,Impulso Digital Perú 2025,Sí,Secuencial,Ongoing,Sí,Pendiente a entrega,750000,Alta,Sí,3,10/02/2025,,,,No,
2025,Digital Payments Evolution,SDA-70216,Pagos sin Contacto (Contactless) en Transporte,CCS,Foco en Captación 2025,No,Iterativo/Incremental,Ongoing,Sí,Pendiente a entrega,400000,Media,Sí,1,06/01/2025,,,,No,
2025,Client Solutions & Digital Channels,SDA-79327,Plataforma de Educación Financiera,T&C,Crecimiento en Banca Empresas,No,Iterativo/Incremental,Ongoing,No,Pendiente a entrega,180000,Baja,Sí,1,03/02/2025,,,,No,
2025,Core Banking Modernization,SDA-78127,Sistema de Conciliación Bancaria Automática,FIN,Eficiencia y Sostenibilidad,No,Secuencial,Ongoing,Sí,Pendiente a entrega,480000,Media,Sí,2,24/03/2025,,,,No,
2025,NGA & Differential Analytics,SDA-77237,Motor de Personalización Web,ENG,Impulso Digital Perú 2025,Sí,Iterativo/Incremental,Ongoing,Sí,Pendiente a entrega,420000,Media,Sí,2,03/02/2025,,,,No,
2025,Data Governance Initiative,SDA-74946,Cuadro de Mando de Calidad de Datos,ENG,Eficiencia y Sostenibilidad,No,Secuencial,Ongoing,Sí,Pendiente a entrega,260000,Media,Sí,1,27/01/2025,,,,No,
2025,Advanced Analytics & AI Models,SDA-73156,Procesamiento de Lenguaje Natural para Correos,T&C,Eficiencia y Sostenibilidad,No,Iterativo/Incremental,Ongoing,Sí,Pendiente a entrega,330000,Media,Sí,2,24/02/2025,,,,No,
2025,Cybersecurity Framework,SDA-72065,Programa de Gestión de Vulnerabilidades,GRM,Renovación Tecnológica,Sí,Secuencial,Ongoing,Sí,Pendiente a entrega,450000,Media,Sí,2,03/03/2025,,,,No,
2025,Sustaninability TBBs,SDA-70974,Préstamos para Eficiencia Energética en Pymes,CIB,Eficiencia y Sostenibilidad,No,Iterativo/Incremental,Ongoing,No,Pendiente a entrega,280000,Baja,Sí,1,13/01/2025,,,,No,
2025,Digital Payments Evolution,SDA-79883,Plataforma de Cobros Recurrentes,CIB,Crecimiento en Banca Empresas,No,Secuencial,Ongoing,Sí,Pendiente a entrega,420000,Media,Sí,2,20/01/2025,,,,No,
2025,Global Markets Platform,SDA-75792,Asesor de Inversiones Robótico (Robo-Advisor),CIB,Impulso Digital Perú 2025,Sí,Iterativo/Incremental,Ongoing,Sí,Pendiente a entrega,900000,Alta,Sí,3,10/02/2025,,,,No,
2025,Client Solutions & Digital Channels,SDA-74601,Programa de Referidos Digital,CCS,Foco en Captación 2025,No,Iterativo/Incremental,Finalizado,Sí,Entrega completa,150000,Baja,No,0,03/02/2025,27/06/2025,04/07/2025,15/07/2025,162,No
2024,Risk Processes Transformation,SDA-65412,Risk Data Transformación Perú,RIC,Renovación Tecnológica,Sí,Secuencial,Ongoing,Sí,Pendiente a entrega,950000,Alta,Sí,2,24/02/2023,,,,No,
2024,Data Governance Initiative,SDA-23871,Cubo de ingresos y gastos financieros,FIN,Eficiencia y Sostenibilidad,No,Secuencial,Finalizado,Sí,Entrega completa,310000,Alta,No,0,03/09/2024,22/01/2025,30/01/2025,11/02/2025,161,No
2024,Sustaninability TBBs,SDA-41002,Lanzamiento de Hipotecas Verdes (Green Mortgages),T&C,Eficiencia y Sostenibilidad,No,Iterativo/Incremental,Finalizado,No,Entrega completa,180000,Baja,No,0,11/03/2024,09/08/2024,19/08/2024,28/08/2024,170,No
2024,Risk Processes Transformation,SDA-91234,Dashboard de Cumplimiento Normativo,GRM,Crecimiento en Banca Empresas,No,Secuencial,Finalizado,Sí,Entrega completa,195000,Media,No,0,12/02/2024,29/07/2024,06/08/2024,16/08/2024,186,No
2024,Client Solutions & Digital Channels,SDA-99823,Asistente Virtual para App (Chatbot),CCS,Foco en Captación 2024,Sí,Iterativo/Incremental,Ongoing,Sí,Pendiente a entrega,450000,Media,Sí,2,15/07/2024,,,,No,
2024,Cybersecurity Framework,SDA-60312,Implementación de Doble Factor de Autenticación,GRM,Crecimiento en Banca Empresas,Sí,Secuencial,Finalizado,Sí,Entrega completa,220000,Media,No,0,05/02/2024,17/06/2024,24/06/2024,03/07/2024,149,No
2024,Data Governance Initiative,SDA-65810,Catálogo de Datos Unificado (Data Catalog),ENG,Eficiencia y Sostenibilidad,No,Iterativo/Incremental,Finalizado,Sí,Entrega completa,240000,Media,No,0,19/02/2024,19/07/2024,26/07/2024,05/08/2024,168,No
2024,Global Markets Platform,SDA-51937,Acceso a Mercados Internacionales para Retail,CIB,Crecimiento en Banca Empresas,No,Iterativo/Incremental,Finalizado,Sí,Entrega completa,600000,Alta,No,0,13/02/2023,07/06/2024,14/06/2024,25/06/2024,498,No
2024,NFR Management Infraestructure,SDA-61938,Plan de Recuperación ante Desastres (DRP),GRM,Renovación Tecnológica,Sí,Secuencial,Finalizado,No,Entrega completa,350000,Media,No,0,15/01/2024,28/06/2024,05/07/2024,15/07/2024,182,No
2024,Core Banking Modernization,SDA-44734,Renovación de Plataforma de Préstamos,RIC,Renovación Tecnológica,Sí,Secuencial,Finalizado,Sí,Entrega completa,1800000,Alta,No,0,07/03/2022,24/05/2024,03/06/2024,13/06/2024,828,No
2024,Sustaninability TBBs,SDA-64736,Fondo de Inversión Socialmente Responsable,CIB,Eficiencia y Sostenibilidad,No,Iterativo/Incremental,Finalizado,No,Entrega completa,200000,Media,No,0,22/04/2024,11/10/2024,18/10/2024,28/10/2024,189,No
2024,Cloud Adoption & DevOps,SDA-63646,Adopción de Infraestructura como Código (IaC),ENG,Renovación Tecnológica,No,Secuencial,Finalizado,Sí,Entrega completa,260000,Media,No,0,26/02/2024,26/07/2024,02/08/2024,12/08/2024,168,No
2024,NGA & Differential Analytics,SDA-68756,Análisis Predictivo de Cartera de Inversiones,CIB,Impulso Digital Perú 2024,No,Iterativo/Incremental,Finalizado,Sí,Entrega completa,360000,Media,No,0,08/01/2024,21/06/2024,28/06/2024,09/07/2024,183,No
2024,Core Banking Modernization,SDA-67666,Gestión Centralizada de Colaterales,RIC,Eficiencia y Sostenibilidad,No,Secuencial,Finalizado,Sí,Entrega completa,580000,Alta,No,0,04/03/2024,23/08/2024,30/08/2024,10/09/2024,190,No
2024,Advanced Analytics & AI Models,SDA-66576,Chatbot Interno para Consultas de IT,T&C,Eficiencia y Sostenibilidad,No,Iterativo/Incremental,Finalizado,Sí,Entrega completa,180000,Baja,No,0,12/02/2024,12/07/2024,19/07/2024,29/07/2024,168,No
2024,Digital Payments Evolution,SDA-62486,Sistema de Pagos Masivos para Empresas,CIB,Crecimiento en Banca Empresas,No,Secuencial,Finalizado,Sí,Entrega completa,390000,Media,No,0,29/04/2024,18/10/2024,25/10/2024,04/11/2024,189,No
2024,Advanced Analytics & AI Models,SDA-61396,Modelo de Propensión de Compra,ENG,Impulso Digital Perú 2024,Sí,Iterativo/Incremental,Finalizado,Sí,Entrega completa,280000,Media,No,0,15/04/2024,27/09/2024,04/10/2024,15/10/2024,183,No
2024,Cybersecurity Framework,SDA-60215,Pruebas de Intrusión a Banca Móvil,GRM,Renovación Tecnológica,Sí,Secuencial,Finalizado,No,Entrega completa,150000,Media,No,0,29/01/2024,24/05/2024,31/05/2024,10/06/2024,133,No
2024,NGA & Differential Analytics,SDA-69326,Next Best Action para Clientes Retail,CCS,Impulso Digital Perú 2024,Sí,Iterativo/Incremental,Finalizado,Sí,Entrega completa,380000,Media,No,0,22/01/2024,19/07/2024,26/07/2024,05/08/2024,196,No
2024,Client Solutions & Digital Channels,SDA-68126,Agendamiento de Citas en Sucursales,CCS,Foco en Captación 2024,No,Iterativo/Incremental,Finalizado,Sí,Entrega completa,160000,Baja,No,0,06/05/2024,11/10/2024,18/10/2024,28/10/2024,175,No
2024,Sustaninability TBBs,SDA-67236,Clasificación de Actividades Sostenibles (Taxonomía),RIC,Eficiencia y Sostenibilidad,Sí,Secuencial,Finalizado,Sí,Entrega completa,200000,Media,No,0,29/01/2024,28/06/2024,05/07/2024,15/07/2024,168,No
2024,Cybersecurity Framework,SDA-64945,Programa de Caza de Amenazas (Threat Hunting),GRM,Renovación Tecnológica,Sí,Secuencial,Finalizado,Sí,Entrega completa,390000,Alta,No,0,26/02/2024,23/08/2024,30/08/2024,09/09/2024,196,No
2024,NFR Management Infraestructure,SDA-63155,Sistema de Gestión de Activos de TI (ITAM),ENG,Eficiencia y Sostenibilidad,No,Secuencial,Finalizado,No,Entrega completa,210000,Baja,No,0,10/06/2024,29/11/2024,06/12/2024,17/12/2024,190,No
2024,Cloud Adoption & DevOps,SDA-52063,Contenedorización de Aplicaciones Legacy,ENG,Renovación Tecnológica,No,Secuencial,Finalizado,Sí,Entrega completa,600000,Alta,No,0,15/05/2023,26/01/2024,02/02/2024,13/02/2024,274,No
2024,Global Markets Platform,SDA-62064,Plataforma de Trading Algorítmico,CIB,Impulso Digital Perú 2024,No,Secuencial,Finalizado,Sí,Entrega completa,850000,Alta,No,0,29/01/2024,26/07/2024,02/08/2024,12/08/2024,196,No
2024,Risk Processes Transformation,SDA-60973,Detección de Fraude en Originación de Créditos,RIC,Impulso Digital Perú 2024,Sí,Secuencial,Finalizado,Sí,Entrega completa,550000,Alta,No,0,08/04/2024,20/09/2024,27/09/2024,08/10/2024,183,No
2024,Data Governance Initiative,SDA-69882,Visualizador de Linaje de Datos,ENG,Eficiencia y Sostenibilidad,No,Iterativo/Incremental,Finalizado,Sí,Entrega completa,310000,Media,No,0,22/04/2024,25/10/2024,04/11/2024,14/11/2024,206,No
2024,Advanced Analytics & AI Models,SDA-65791,Clasificador Automático de Documentos,T&C,Eficiencia y Sostenibilidad,No,Iterativo/Incremental,Finalizado,Sí,Entrega completa,290000,Media,No,0,29/01/2024,19/07/2024,26/07/2024,05/08/2024,189,No
2023,Risk Processes Transformation,SDA-65412,Risk Data Transformación Perú,RIC,Renovación Tecnológica,Sí,Secuencial,Ongoing,Sí,Pendiente a entrega,950000,Alta,Sí,4,24/02/2023,,,,No,
2023,NGA & Differential Analytics,SDA-58244,NGA - Perú. EWS Empresas (ARCE),ENG,Impulso Digital Perú 2023,Sí,Iterativo/Incremental,Finalizado,Sí,Entrega completa,430000,Media,No,0,15/05/2023,29/11/2023,07/12/2023,18/12/2023,217,No
2023,Core Banking Modernization,SDA-88952,Rescate a cuentas del exterior en FFMM,CIB,Renovación Tecnológica,No,Secuencial,Finalizado,Sí,Entrega completa,560000,Alta,Sí,1,01/02/2023,25/09/2023,03/10/2023,16/10/2023,257,No
2023,Advanced Analytics & AI Models,SDA-69311,Implementación de Modelos Predictivos de Fuga de Clientes,ENG,Impulso Digital Perú 2023,Sí,Iterativo/Incremental,Finalizado,Sí,Entrega completa,290000,Media,No,0,06/06/2023,28/11/2023,05/12/2023,15/12/2023,192,No
2023,Digital Payments Evolution,SDA-39147,Integración con Billeteras Digitales (PLIN),CCS,Foco en Captación 2022,Sí,Iterativo/Incremental,Finalizado,Sí,Entrega completa,320000,Media,No,0,19/09/2022,14/03/2023,22/03/2023,03/04/2023,196,No
2023,Sustaninability TBBs,SDA-67319,Reporte de Sostenibilidad Automatizado,FIN,Eficiencia y Sostenibilidad,No,Secuencial,Finalizado,Sí,Entrega completa,110000,Media,No,0,27/03/2023,21/08/2023,28/08/2023,06/09/2023,163,No
2023,NFR Management Infraestructure,SDA-50211,Gestor Documental Centralizado,T&C,Eficiencia y Sostenibilidad,No,Iterativo/Incremental,Finalizado,Sí,Entrega completa,160000,Baja,No,0,10/07/2023,08/12/2023,15/12/2023,26/12/2023,169,No
2023,Core Banking Modernization,SDA-55811,Plataforma de Gestión de Tesorería,FIN,Crecimiento en Banca Empresas,No,Secuencial,Finalizado,Sí,Entrega completa,720000,Alta,Sí,1,20/03/2023,20/10/2023,27/10/2023,07/11/2023,232,No
2023,Global Markets Platform,SDA-51937,Acceso a Mercados Internacionales para Retail,CIB,Crecimiento en Banca Empresas,No,Iterativo/Incremental,Ongoing,Sí,Pendiente a entrega,600000,Alta,Sí,2,13/02/2023,,,,No,
2023,Core Banking Modernization,SDA-44734,Renovación de Plataforma de Préstamos,RIC,Renovación Tecnológica,Sí,Secuencial,Ongoing,Sí,Pendiente a entrega,1800000,Alta,Sí,2,07/03/2022,,,,No,
2023,Cybersecurity Framework,SDA-54735,Plataforma de Concientización en Seguridad,GRM,Crecimiento en Banca Empresas,No,Iterativo/Incremental,Finalizado,No,Entrega completa,110000,Baja,No,0,17/04/2023,15/09/2023,22/09/2023,02/10/2023,168,No
2023,Global Markets Platform,SDA-53645,Integración con Plataforma de Trading,CIB,Crecimiento en Banca Empresas,No,Iterativo/Incremental,Finalizado,Sí,Entrega completa,520000,Alta,Sí,1,10/04/2023,27/10/2023,03/11/2023,14/11/2023,218,No
2023,Digital Payments Evolution,SDA-58755,Pagos a través de Redes Sociales,CCS,Foco en Captación 2023,No,Iterativo/Incremental,Finalizado,Sí,Entrega completa,280000,Media,No,0,11/09/2023,16/02/2024,23/02/2024,05/03/2024,176,No
2023,Advanced Analytics & AI Models,SDA-47664,Prevención de Lavado de Dinero (AML) con IA,GRM,Renovación Tecnológica,Sí,Secuencial,Finalizado,Sí,Entrega completa,1300000,Alta,No,0,02/05/2022,23/06/2023,30/06/2023,11/07/2023,435,No
2023,Cloud Adoption & DevOps,SDA-57665,Estrategia Multicloud,ENG,Renovación Tecnológica,No,Secuencial,Finalizado,No,Entrega completa,150000,Baja,No,0,08/05/2023,13/10/2023,20/10/2023,30/10/2023,175,No
2023,NFR Management Infraestructure,SDA-56575,Renovación de Switches Core de Red,ENG,Renovación Tecnológica,No,Secuencial,Finalizado,Sí,Entrega completa,800000,Alta,No,0,13/03/2023,18/08/2023,25/08/2023,04/09/2023,175,No
2023,Data Governance Initiative,SDA-52485,Plataforma de Autoservicio de Datos,ENG,Eficiencia y Sostenibilidad,No,Iterativo/Incremental,Finalizado,Sí,Entrega completa,450000,Media,No,0,22/05/2023,17/11/2023,24/11/2023,05/12/2023,197,Sí
2023,Risk Processes Transformation,SDA-51395,Automatización de Conciliaciones Contables,FIN,Eficiencia y Sostenibilidad,No,Secuencial,Finalizado,Sí,Entrega completa,250000,Media,No,0,12/06/2023,24/11/2023,01/12/2023,12/12/2023,183,No
2023,Sustaninability TBBs,SDA-50214,Evaluación de Riesgo Climático en Cartera,RIC,Eficiencia y Sostenibilidad,Sí,Secuencial,Finalizado,Sí,Entrega completa,320000,Alta,No,0,09/01/2023,09/06/2023,16/06/2023,27/06/2023,169,No
2023,Risk Processes Transformation,SDA-59325,Automatización de Pruebas de Estrés,RIC,Renovación Tecnológica,Sí,Secuencial,Finalizado,Sí,Entrega completa,450000,Alta,No,0,06/03/2023,25/08/2023,01/09/2023,12/09/2023,190,No
2023,Advanced Analytics & AI Models,SDA-58125,Análisis de Canales de Venta Más Efectivos,ENG,Impulso Digital Perú 2023,No,Iterativo/Incremental,Finalizado,Sí,Entrega completa,210000,Media,No,0,24/04/2023,22/09/2023,29/09/2023,10/10/2023,169,No
2023,Risk Processes Transformation,SDA-37233,Modelo de Provisión IFRS 9,RIC,Renovación Tecnológica,Sí,Secuencial,Finalizado,Sí,Entrega completa,1500000,Alta,No,0,01/03/2021,14/04/2023,21/04/2023,02/05/2023,792,No
2023,Cloud Adoption & DevOps,SDA-57235,Automatización de Pruebas de Rendimiento,ENG,Renovación Tecnológica,No,Secuencial,Finalizado,Sí,Entrega completa,280000,Media,No,0,03/04/2023,15/09/2023,22/09/2023,02/10/2023,182,No
2023,Global Markets Platform,SDA-54944,Gestión de Portafolios Discrecional,CIB,Crecimiento en Banca Empresas,No,Iterativo/Incremental,Finalizado,Sí,Entrega completa,480000,Media,No,0,30/01/2023,28/07/2023,04/08/2023,15/08/2023,197,No
2023,Digital Payments Evolution,SDA-53154,Gateway de Pagos Unificado,CIB,Impulso Digital Perú 2023,Sí,Secuencial,Finalizado,Sí,Entrega completa,650000,Media,No,0,27/02/2023,22/09/2023,29/09/2023,10/10/2023,225,No
2023,Cloud Adoption & DevOps,SDA-52063,Contenedorización de Aplicaciones Legacy,ENG,Renovación Tecnológica,No,Secuencial,Ongoing,Sí,Pendiente a entrega,600000,Alta,Sí,3,15/05/2023,,,,No,
2023,Core Banking Modernization,SDA-50972,Centralización de Firmas y Poderes,T&C,Eficiencia y Sostenibilidad,No,Secuencial,Finalizado,Sí,Entrega completa,380000,Media,No,0,02/05/2023,06/10/2023,13/10/2023,24/10/2023,175,No
2023,Client Solutions & Digital Channels,SDA-59881,Comparador de Productos Financieros,T&C,Foco en Captación 2023,No,Iterativo/Incremental,Finalizado,Sí,Entrega completa,190000,Baja,No,0,05/06/2023,27/10/2023,03/11/2023,14/11/2023,162,No
2022,Sustaninability TBBs,SDA-73109,Factoring: Nuevo diseño de aplicativo,CIB,Eficiencia y Sostenibilidad,Sí,Iterativo/Incremental,Finalizado,Sí,Entrega completa,210000,Alta,No,0,08/03/2022,19/12/2022,28/12/2022,10/01/2023,308,No
2022,Client Solutions & Digital Channels,SDA-19875,Pago automático (Domiciliaciones),CCS,Foco en Captación 2022,Sí,Iterativo/Incremental,Finalizado,Sí,Entrega completa,155000,Media,No,0,21/06/2022,10/11/2022,18/11/2022,28/11/2022,160,No
2022,Cloud Adoption & DevOps,SDA-71234,Migración de Servidores de Canales Móviles a AWS,ENG,Renovación Tecnológica,Sí,Secuencial,Finalizado,Sí,Entrega completa,375000,Alta,No,0,13/04/2022,17/10/2022,25/10/2022,04/11/2022,205,Sí
2022,Digital Payments Evolution,SDA-39147,Integración con Billeteras Digitales (PLIN),CCS,Foco en Captación 2022,Sí,Iterativo/Incremental,Ongoing,Sí,Pendiente a entrega,320000,Media,Sí,2,19/09/2022,,,,No,
2022,Client Solutions & Digital Channels,SDA-82345,Rediseño de la Banca Móvil,CCS,Impulso Digital Perú 2021,Sí,Iterativo/Incremental,Finalizado,Sí,Entrega completa,1200000,Alta,No,0,01/03/2021,26/04/2022,05/05/2022,16/05/2022,441,No
2022,Advanced Analytics & AI Models,SDA-55438,Segmentación Avanzada de Clientes,ENG,Impulso Digital Perú 2022,Sí,Iterativo/Incremental,Finalizado,Sí,Entrega completa,260000,Media,No,0,04/04/2022,12/09/2022,19/09/2022,28/09/2022,177,No
2022,Risk Processes Transformation,SDA-41983,Modelo de Riesgo Operacional,RIC,Renovación Tecnológica,Sí,Secuencial,Finalizado,Sí,Entrega completa,415000,Media,No,0,14/02/2022,12/08/2022,19/08/2022,29/08/2022,196,No
2022,Risk Processes Transformation,SDA-35813,Sistema de Alertas de Fraude Transaccional,RIC,Renovación Tecnológica,Sí,Secuencial,Finalizado,Sí,Entrega completa,880000,Alta,No,0,12/04/2021,22/07/2022,29/07/2022,09/08/2022,484,No
2022,NGA & Differential Analytics,SDA-45812,Motor de Recomendación de Productos,ENG,Impulso Digital Perú 2022,Sí,Iterativo/Incremental,Finalizado,Sí,Entrega completa,400000,Media,No,0,23/05/2022,02/12/2022,09/12/2022,19/12/2022,210,No
2022,Digital Payments Evolution,SDA-41936,Tokenización de Tarjetas,CCS,Impulso Digital Perú 2022,Sí,Iterativo/Incremental,Finalizado,Sí,Entrega completa,450000,Alta,No,0,16/05/2022,18/11/2022,25/11/2022,06/12/2022,204,No
2022,Core Banking Modernization,SDA-44734,Renovación de Plataforma de Préstamos,RIC,Renovación Tecnológica,Sí,Secuencial,Ongoing,Sí,Pendiente a entrega,1800000,Alta,Sí,4,07/03/2022,,,,No,
2022,Client Solutions & Digital Channels,SDA-43644,Gestor de Finanzas Personales (PFM),CCS,Foco en Captación 2022,Sí,Iterativo/Incremental,Finalizado,Sí,Entrega completa,380000,Media,No,0,18/07/2022,16/12/2022,23/12/2022,04/01/2023,170,No
2022,Data Governance Initiative,SDA-48754,Calidad de Datos para Clientes,ENG,Eficiencia y Sostenibilidad,Sí,Iterativo/Incremental,Finalizado,Sí,Entrega completa,340000,Media,No,0,09/05/2022,21/10/2022,28/10/2022,08/11/2022,183,No
2022,Advanced Analytics & AI Models,SDA-47664,Prevención de Lavado de Dinero (AML) con IA,GRM,Renovación Tecnológica,Sí,Secuencial,Ongoing,Sí,Pendiente a entrega,1300000,Alta,Sí,3,02/05/2022,,,,No,
2022,Cybersecurity Framework,SDA-46574,Ethical Hacking Continuo,GRM,Renovación Tecnológica,Sí,Secuencial,Finalizado,No,Entrega completa,280000,Media,No,0,21/02/2022,22/07/2022,29/07/2022,08/08/2022,168,No
2022,Core Banking Modernization,SDA-32483,Microservicios para Cuentas de Ahorro,ENG,Renovación Tecnológica,Sí,Secuencial,Finalizado,Sí,Entrega completa,1100000,Alta,No,0,15/02/2021,29/04/2022,06/05/2022,17/05/2022,456,No
2022,Sustaninability TBBs,SDA-42484,Reporte de Inversiones ESG para Clientes,CIB,Eficiencia y Sostenibilidad,No,Iterativo/Incremental,Finalizado,No,Entrega completa,160000,Baja,No,0,13/06/2022,14/11/2022,21/11/2022,30/11/2022,170,No
2022,Global Markets Platform,SDA-41394,Plataforma de Renta Fija para Clientes,CIB,Crecimiento en Banca Empresas,No,Iterativo/Incremental,Finalizado,Sí,Entrega completa,400000,Media,No,0,11/04/2022,23/09/2022,30/09/2022,11/10/2022,183,No
2022,Cloud Adoption & DevOps,SDA-40213,Landing Zone en Azure,ENG,Renovación Tecnológica,No,Secuencial,Finalizado,Sí,Entrega completa,550000,Media,No,0,10/01/2022,10/06/2022,17/06/2022,27/06/2022,168,No
2022,Core Banking Modernization,SDA-39323,Gestión de Tarjetas en Tiempo Real,CCS,Impulso Digital Perú 2021,Sí,Iterativo/Incremental,Finalizado,Sí,Entrega completa,750000,Media,No,0,05/04/2021,17/06/2022,24/06/2022,05/07/2022,456,No
2022,Global Markets Platform,SDA-49324,Plataforma de Inversiones para Asesores,CIB,Crecimiento en Banca Empresas,No,Iterativo/Incremental,Finalizado,Sí,Entrega completa,600000,Media,No,0,25/04/2022,28/10/2022,04/11/2022,15/11/2022,204,No
2022,NFR Management Infraestructure,SDA-48124,Renovación de Equipos de Cómputo,T&C,Renovación Tecnológica,No,Secuencial,Finalizado,No,Entrega completa,2000000,Baja,No,0,17/01/2022,24/06/2022,01/07/2022,12/07/2022,176,Sí
2022,Risk Processes Transformation,SDA-37233,Modelo de Provisión IFRS 9,RIC,Renovación Tecnológica,Sí,Secuencial,Ongoing,Sí,Pendiente a entrega,1500000,Alta,Sí,1,01/03/2021,,,,No,
2022,Digital Payments Evolution,SDA-47234,Transferencias Internacionales para Personas,CCS,Impulso Digital Perú 2022,No,Iterativo/Incremental,Finalizado,Sí,Entrega completa,350000,Media,No,0,20/06/2022,25/11/2022,02/12/2022,13/12/2022,176,No
2022,Client Solutions & Digital Channels,SDA-44943,Plataforma de Beneficios y Descuentos,T&C,Foco en Captación 2022,No,Iterativo/Incremental,Finalizado,Sí,Entrega completa,300000,Baja,No,0,28/02/2022,29/07/2022,05/08/2022,15/08/2022,168,No
2022,Risk Processes Transformation,SDA-43153,Modelo de Valor en Riesgo (VaR),RIC,Renovación Tecnológica,Sí,Secuencial,Finalizado,Sí,Entrega completa,400000,Alta,No,0,25/04/2022,21/10/2022,28/10/2022,08/11/2022,197,No
2022,Data Governance Initiative,SDA-42062,Enmascaramiento de Datos en Entornos no Productivos,GRM,Renovación Tecnológica,Sí,Secuencial,Finalizado,Sí,Entrega completa,320000,Media,No,0,10/01/2022,20/05/2022,27/05/2022,07/06/2022,148,No
2022,NGA & Differential Analytics,SDA-40971,Modelo de Abandono de Carrito en Canales Digitales,CCS,Impulso Digital Perú 2022,Sí,Iterativo/Incremental,Finalizado,Sí,Entrega completa,230000,Media,No,0,07/02/2022,17/06/2022,24/06/2022,04/07/2022,147,No
2021,NFR Management Infraestructure,SDA-84321,Consultoría de Riesgos de Competencia,RIC,Foco en Captación 2021,Sí,Secuencial,Finalizado,No,Entrega completa,85000,Media,No,0,11/01/2021,14/06/2021,22/06/2021,01/07/2021,171,No
2021,Client Solutions & Digital Channels,SDA-47125,Seguro de vida,T&C,Crecimiento en Banca Empresas,Sí,Iterativo/Incremental,Finalizado,No,Entrega completa,95000,Baja,No,0,18/08/2021,20/12/2021,27/12/2021,05/01/2022,140,No
